ENABLE,id,fragment_mst_item_id,role_type,color,attack_range_type,unit_label,has_specific_rank_up,mst_series_id,asset_key,rarity,sort_order,summon_cost,summon_cool_time,special_attack_initial_cool_time,special_attack_cool_time,min_hp,max_hp,damage_knock_back_count,move_speed,well_distance,min_attack_power,max_attack_power,mst_unit_ability_id1,ability_unlock_rank1,mst_unit_ability_id2,ability_unlock_rank2,mst_unit_ability_id3,ability_unlock_rank3,is_encyclopedia_special_attack_position_right,release_key
e,chara_dan_00001,piece_dan_00001,Defense,Red,Short,PremiumR,0,dan,chara_dan_00001,R,1,160,335,175,995,910,9100,1,30,0.16,320,3200,,0,,0,,0,0,202509010
e,chara_dan_00002,piece_dan_00002,Attack,Blue,Middle,PremiumUR,0,dan,chara_dan_00002,UR,1,985,1010,530,1045,2760,27600,2,75,0.34,4800,48000,ability_dan_00002_01,0,ability_dan_00002_02,4,,0,0,202509010
e,chara_dan_00101,piece_dan_00101,Attack,Red,Middle,PremiumSSR,0,dan,chara_dan_00101,SSR,1,330,255,120,520,690,6900,2,35,0.39,1040,10400,ability_dan_00101_01,0,,0,,0,0,202509010
e,chara_gom_00001,piece_gom_00001,Defense,Green,Short,PremiumUR,0,gom,chara_gom_00001,UR,1,650,1750,750,1505,5450,54500,1,20,0.16,640,6400,ability_gom_00001_01,0,ability_gom_00001_02,4,,0,0,202509010
e,chara_gom_00101,piece_gom_00101,Technical,Yellow,Short,PremiumSR,0,gom,chara_gom_00101,SR,1,325,255,130,860,690,6900,3,35,0.31,720,7200,ability_gom_00101_01,2,,0,,0,0,202509010
e,chara_gom_00201,piece_gom_00201,Attack,Yellow,Long,DropR,0,gom,chara_gom_00201,R,1,555,365,190,955,1000,10000,2,30,0.52,3720,37200,,0,,0,,0,0,202509010
e,chara_sur_00001,piece_sur_00001,Support,Green,Short,PremiumR,0,sur,chara_sur_00001,R,1,360,240,125,695,650,6500,1,35,0.27,750,7500,,0,,0,,0,0,202509010
e,chara_jig_00001,piece_jig_00001,Technical,Red,Short,PremiumUR,0,jig,chara_jig_00001,UR,1,985,1010,530,1510,2760,27600,3,50,0.26,2710,27100,ability_jig_00001_01,0,ability_jig_00001_02,4,,0,0,202509010
e,chara_jig_00101,piece_jig_00101,Attack,Red,Short,PremiumSSR,0,jig,chara_jig_00101,SSR,1,620,545,260,615,1490,14900,2,40,0.29,1740,17400,ability_jig_00101_01,0,,0,,0,0,202509010
e,chara_jig_00201,piece_jig_00201,Technical,Green,Middle,DropSSR,0,jig,chara_jig_00201,SSR,1,685,455,240,1235,1240,12400,3,40,0.41,2270,22700,ability_jig_00201_01,0,,0,,0,0,202509010
e,chara_jig_00301,piece_jig_00301,Defense,Green,Short,PremiumSR,0,jig,chara_jig_00301,SR,1,320,705,370,940,1920,19200,1,30,0.21,610,6100,ability_jig_00301_01,2,,0,,0,0,202509010
e,chara_kai_00101,piece_kai_00101,Technical,Blue,Long,PremiumSR,0,kai,chara_kai_00101,SR,1,845,375,195,1010,1020,10200,3,30,0.61,4840,48400,ability_kai_00101_01,2,,0,,0,0,202509010
e,chara_kai_00301,piece_kai_00301,Defense,Yellow,Short,PremiumSSR,0,kai,chara_kai_00301,SSR,1,535,1005,525,920,2740,27400,1,40,0.21,1430,14300,ability_kai_00301_01,0,,0,,0,0,202509010
e,chara_kai_00001,piece_kai_00001,Attack,Yellow,Short,PremiumR,0,kai,chara_kai_00001,R,1,210,185,100,650,500,5000,2,40,0.24,550,5500,,0,,0,,0,0,202509010
e,chara_kai_00002,piece_kai_00002,Attack,Green,Short,PremiumUR,0,kai,chara_kai_00002,UR,2,1000,1025,535,880,2800,28000,2,50,0.24,3850,38500,ability_kai_00002_01,0,ability_kai_00002_02,4,,0,0,202509010
e,chara_dos_00001,piece_dos_00001,Support,Blue,Long,PremiumSSR,0,dos,chara_dos_00001,SSR,1,375,125,135,1120,340,3400,3,30,0.62,1480,14800,ability_dos_00001_01,0,,0,,0,0,202509010
e,chara_chi_00001,piece_chi_00001,Attack,Green,Short,PremiumR,0,chi,chara_chi_00001,R,1,260,225,120,395,620,6200,2,35,0.29,680,6800,,0,,0,,0,0,202509010
e,chara_sum_00001,piece_sum_00001,Technical,Blue,Long,PremiumR,0,sum,chara_sum_00001,R,1,515,225,120,1190,620,6200,3,30,0.61,2710,27100,,0,,0,,0,0,202509010
e,chara_sum_00201,piece_sum_00201,Attack,Blue,Short,PremiumSR,0,sum,chara_sum_00201,SR,1,485,430,225,545,1170,11700,2,45,0.24,1260,12600,ability_sum_00201_01,2,,0,,0,0,202509010
e,chara_sur_00101,piece_sur_00101,Attack,Green,Middle,PremiumUR,0,sur,chara_sur_00101,UR,1,530,405,215,660,1110,11100,2,40,0.34,2070,20700,ability_sur_00101_01,0,ability_sur_00101_02,4,,0,0,202509010
e,chara_sum_00101,piece_sum_00101,Support,Blue,Middle,PremiumUR,0,sum,chara_sum_00101,UR,1,620,310,165,1610,930,9300,2,60,0.42,1570,15700,ability_sum_00101_01,0,ability_sum_00101_02,4,,0,0,202509010
e,chara_sur_00201,piece_sur_00201,Attack,Blue,Short,PremiumSR,0,sur,chara_sur_00201,SR,1,315,280,145,440,760,7600,2,40,0.24,820,8200,ability_sur_00201_01,2,,0,,0,0,202509010
e,chara_sur_00301,piece_sur_00301,Defense,Yellow,Short,PremiumSR,0,sur,chara_sur_00301,SR,1,480,1005,525,830,2740,27400,2,40,0.16,960,9600,ability_sur_00301_01,2,,0,,0,0,202509010
e,chara_tak_00001,piece_tak_00001,Defense,Yellow,Short,PremiumUR,0,tak,chara_tak_00001,UR,1,390,775,405,1405,2110,21100,1,25,0.16,320,3200,ability_tak_00001_01,0,ability_tak_00001_02,4,,0,0,202509010
e,chara_chi_00201,piece_chi_00201,Attack,Green,Short,PremiumSSR,0,chi,chara_chi_00201,SSR,1,870,765,400,725,2090,20900,2,35,0.24,2260,22600,ability_chi_00201_01,0,,0,,0,0,202509010
e,chara_chi_00301,piece_chi_00301,Attack,Blue,Middle,PremiumSSR,0,chi,chara_chi_00301,SSR,1,420,325,170,590,880,8800,2,45,0.34,1640,16400,ability_chi_00301_01,0,,0,,0,0,202509010
e,chara_chi_00002,piece_chi_00002,Technical,Yellow,Short,PremiumUR,0,chi,chara_chi_00002,UR,1,850,560,295,545,1530,15300,3,40,0.31,1840,18400,ability_chi_00002_01,0,ability_chi_00002_02,4,,0,0,202509010
e,chara_rik_00001,piece_rik_00001,Attack,Red,Short,PremiumR,0,rik,chara_rik_00001,R,1,705,625,300,655,1700,17000,2,45,0.24,1970,19700,,0,,0,,0,0,202509010
e,chara_aka_00101,piece_aka_00101,Technical,Red,Short,PremiumR,0,aka,chara_aka_00101,R,1,325,255,130,640,690,6900,3,30,0.26,720,7200,,0,,0,,0,0,202509010
e,chara_aka_00001,piece_aka_00001,Defense,Red,Short,PremiumR,0,aka,chara_aka_00001,R,1,560,1170,610,1345,3190,31900,1,30,0.16,1120,11200,,0,,0,,0,0,202509010
e,chara_spy_00101,piece_spy_00101,Attack,Yellow,Long,PremiumUR,0,spy,chara_spy_00101,UR,1,985,720,380,1410,1970,19700,3,40,0.59,9600,96000,ability_spy_00101_01,0,ability_spy_00101_02,4,,0,0,202509010
e,chara_spy_00201,piece_spy_00201,Attack,Red,Middle,PremiumUR,0,spy,chara_spy_00201,UR,1,650,570,275,1470,1560,15600,2,45,0.34,3170,31700,ability_spy_00201_01,0,ability_spy_00201_02,4,,0,0,202509010
e,chara_spy_00401,piece_spy_00401,Defense,Green,Short,DropSR,1,spy,chara_spy_00401,SR,1,470,1035,540,1180,2820,28200,1,30,0.21,940,9400,ability_spy_00401_01,2,,0,,0,0,202510010
e,chara_spy_00501,piece_spy_00501,Defense,Blue,Short,PremiumUR,0,spy,chara_spy_00501,UR,1,540,1305,680,1395,3560,35600,1,35,0.24,420,4200,ability_spy_00501_01,0,ability_spy_00501_02,4,,0,0,202510010
e,chara_rik_00101,piece_rik_00101,Support,Red,Middle,DropR,0,rik,chara_rik_00101,R,1,610,335,175,1000,920,9200,2,35,0.42,1530,15300,,0,,0,,0,0,202509010
e,chara_bat_00001,piece_bat_00001,Attack,Red,Long,PremiumSR,0,bat,chara_bat_00001,SR,1,220,125,100,575,330,3300,3,45,0.59,1860,18600,ability_bat_00001_01,2,,0,,0,0,202509010
e,chara_bat_00101,piece_bat_00101,Defense,Red,Middle,PremiumSR,0,bat,chara_bat_00101,SR,1,625,1240,650,1450,3380,33800,1,45,0.34,1260,12600,ability_bat_00101_01,2,,0,,0,0,202509010
e,chara_mag_00001,piece_mag_00001,Attack,Blue,Long,PremiumUR,0,mag,chara_mag_00001,UR,1,980,720,375,1405,1960,19600,3,45,0.59,9570,95700,ability_mag_00001_01,0,ability_mag_00001_02,4,,0,0,202509010
e,chara_mag_00101,piece_mag_00101,Attack,Yellow,Middle,PremiumSR,0,mag,chara_mag_00101,SR,1,725,560,295,775,1530,15300,2,50,0.39,2840,28400,ability_mag_00101_01,2,,0,,0,0,202509010
e,chara_yuw_00001,piece_yuw_00001,Attack,Yellow,Middle,PremiumUR,0,yuw,chara_yuw_00001,UR,1,785,475,250,715,1300,13000,2,35,0.39,3420,34200,ability_yuw_00001_01,0,ability_yuw_00001_02,4,,0,0,202509010
e,chara_yuw_00101,piece_yuw_00101,Technical,Green,Short,PremiumUR,0,yuw,chara_yuw_00101,UR,1,740,570,295,1750,1550,15500,3,35,0.26,1630,16300,ability_yuw_00101_01,0,ability_yuw_00101_02,4,,0,0,202509010
e,chara_aha_00001,piece_aha_00001,Defense,Yellow,Short,PremiumSR,0,aha,chara_aha_00001,SR,1,280,585,305,955,1600,16000,1,30,0.21,560,5600,ability_aha_00001_01,2,,0,,0,0,202509010
e,chara_aha_00101,piece_aha_00101,Support,Yellow,Short,PremiumSSR,0,aha,chara_aha_00101,SSR,1,620,410,215,1130,1120,11200,2,35,0.27,1310,13100,ability_aha_00101_01,0,,0,,0,0,202509010
e,chara_ron_00001,piece_ron_00001,Technical,Blue,Middle,PremiumSSR,0,ron,chara_ron_00001,SSR,1,290,190,100,565,520,5200,3,35,0.36,960,9600,ability_ron_00001_01,0,,0,,0,0,202509010
e,chara_ron_00101,piece_ron_00101,Defense,Blue,Middle,PremiumR,0,ron,chara_ron_00101,R,1,210,415,215,800,1130,11300,1,30,0.29,420,4200,,0,,0,,0,0,202509010
e,chara_kai_00201,piece_kai_00201,Attack,Blue,Long,PremiumUR,0,kai,chara_kai_00201,UR,1,975,715,375,1400,1950,19500,3,40,0.59,9510,95100,ability_kai_00201_01,0,ability_kai_00201_02,4,,0,0,202509010
e,chara_kai_00401,piece_kai_00401,Attack,Blue,Short,PremiumSSR,0,kai,chara_kai_00401,SSR,1,700,695,360,690,1890,18900,2,50,0.24,1340,13400,ability_kai_00401_01,0,,0,,0,0,202509010
e,chara_kai_00501,piece_kai_00501,Attack,Yellow,Short,DropSR,1,kai,chara_kai_00501,SR,1,875,675,355,680,1840,18400,2,25,0.29,1840,18400,ability_kai_00501_01,2,,0,,0,0,202509010
e,chara_kai_00601,piece_kai_00601,Defense,Green,Middle,DropSR,1,kai,chara_kai_00601,SR,1,225,475,245,790,1290,12900,1,45,0.34,460,4600,ability_kai_00601_01,2,,0,,0,0,202509010
e,chara_sur_00401,piece_sur_00401,Special,Colorless,None,DropSR,0,sur,chara_sur_00401,SR,1,350,0,0,0,0,0,,0,,20,20,,0,,0,,0,0,202509010
e,chara_spy_00001,piece_spy_00001,Special,Colorless,None,PremiumUR,0,spy,chara_spy_00001,UR,1,500,0,0,0,0,0,,0,,50,50,,0,,0,,0,0,202509010
e,chara_spy_00301,piece_spy_00301,Special,Colorless,None,DropSR,1,spy,chara_spy_00301,SR,1,250,0,0,0,0,0,,0,,10,10,,0,,0,,0,0,202510010
e,chara_dos_00101,piece_dos_00101,Special,Colorless,None,PremiumSSR,0,dos,chara_dos_00101,SSR,1,400,0,0,0,0,0,,0,,20,20,,0,,0,,0,0,202509010
e,chara_dan_00201,piece_dan_00201,Support,Blue,Short,DropSR,1,dan,chara_dan_00201,SR,1,420,255,135,940,760,7600,2,35,0.27,890,8900,ability_dan_00201_01,2,,0,,0,0,202510020
e,chara_dan_00202,piece_dan_00202,Attack,Green,Middle,PremiumUR,0,dan,chara_dan_00202,UR,1,480,370,195,630,1010,10100,2,45,0.39,1880,18800,ability_dan_00202_01,0,ability_dan_00202_02,4,,0,1,202510020
e,chara_dan_00301,piece_dan_00301,Defense,Yellow,Short,DropSR,1,dan,chara_dan_00301,SR,1,350,735,385,1440,2000,20000,1,35,0.16,700,7000,ability_dan_00301_01,2,,0,,0,0,202510020
e,chara_mag_00201,piece_mag_00201,Attack,Red,Long,PremiumUR,0,mag,chara_mag_00201,UR,1,275,260,100,710,500,5000,3,45,0.49,2160,21600,ability_mag_00201_01,0,ability_mag_00201_02,4,,0,0,202511010
e,chara_mag_00301,piece_mag_00301,Defense,Green,Middle,PremiumSSR,0,mag,chara_mag_00301,SSR,1,525,985,515,1080,2690,26900,1,45,0.34,1850,18500,ability_mag_00301_01,0,,0,,0,0,202511010
e,chara_mag_00401,piece_mag_00401,Technical,Red,Short,DropSR,1,mag,chara_mag_00401,SR,1,375,290,150,1175,790,7900,3,45,0.26,830,8300,ability_mag_00401_01,2,,0,,0,0,202511010
e,chara_mag_00501,piece_mag_00501,Special,Colorless,None,DropSR,1,mag,chara_mag_00501,SR,1,350,0,0,0,0,0,,0,,15,15,,0,,0,,0,0,202511010
e,chara_yuw_00201,piece_yuw_00201,Technical,Blue,Short,PremiumSSR,0,yuw,chara_yuw_00201,SSR,1,535,415,215,870,1130,11300,3,35,0.31,1180,11800,ability_yuw_00201_01,0,,0,,0,0,202511020
e,chara_yuw_00301,piece_yuw_00301,Support,Blue,Short,PremiumUR,0,yuw,chara_yuw_00301,UR,1,515,310,390,400,930,9300,2,35,0.27,1400,14000,ability_yuw_00301_01,0,ability_yuw_00301_02,4,,0,0,202511020
e,chara_yuw_00401,piece_yuw_00401,Defense,Red,Short,PremiumUR,0,yuw,chara_yuw_00401,UR,1,840,1535,550,1175,4280,42800,1,35,0.21,3540,35400,ability_yuw_00401_01,0,ability_yuw_00401_02,4,,0,0,202511020
e,chara_yuw_00501,piece_yuw_00501,Support,Red,Short,DropSR,1,yuw,chara_yuw_00501,SR,1,475,315,165,765,860,8600,2,35,0.27,1010,10100,ability_yuw_00501_01,2,,0,,0,0,202511020
e,chara_yuw_00601,piece_yuw_00601,Defense,Yellow,Short,DropSR,1,yuw,chara_yuw_00601,SR,1,445,935,490,1100,2550,25500,1,35,0.21,660,6600,ability_yuw_00601_01,2,,0,,0,0,202511020
e,chara_sur_00501,piece_sur_00501,Technical,Yellow,Long,PremiumUR,0,sur,chara_sur_00501,UR,1,665,365,265,1140,1000,10000,3,35,0.51,4380,43800,ability_sur_00501_01,0,ability_sur_00501_02,4,,0,0,202512010
e,chara_sur_00601,piece_sur_00601,Technical,Red,Middle,PremiumSSR,0,sur,chara_sur_00601,SSR,1,445,295,230,905,800,8000,3,40,0.41,1470,14700,ability_sur_00601_01,0,,0,,0,0,202512010
e,chara_sur_00701,piece_sur_00701,Attack,Blue,Short,DropSR,1,sur,chara_sur_00701,SR,1,570,380,445,660,1030,10300,2,50,0.24,910,9100,ability_sur_00701_01,2,,0,,0,0,202512010
e,chara_sur_00801,piece_sur_00801,Defense,Yellow,Short,DropSR,1,sur,chara_sur_00801,SR,1,725,1510,750,1530,4140,41400,1,45,0.16,1460,14600,ability_sur_00801_01,2,,0,,0,0,202512010
e,chara_yuw_00102,piece_yuw_00102,Support,Green,Short,FestivalUR,0,yuw,chara_yuw_00102,UR,1,765,675,855,1000,1840,18400,2,35,0.32,1550,15500,ability_yuw_00102_01,0,ability_yuw_00102_02,4,ability_yuw_00102_03,6,0,202512015
e,chara_osh_00001,piece_osh_00001,Technical,Red,Middle,FestivalUR,0,osh,chara_osh_00001,UR,1,900,790,640,1770,2160,21600,3,35,0.41,3520,35200,ability_osh_00001_01,0,ability_osh_00001_02,4,ability_osh_00001_03,6,0,202512020
e,chara_osh_00101,piece_osh_00101,Special,Colorless,None,PremiumUR,0,osh,chara_osh_00101,UR,1,750,0,0,0,0,0,,0,,50,50,,0,,0,,0,0,202512020
e,chara_osh_00201,piece_osh_00201,Attack,Red,Short,PremiumSSR,0,osh,chara_osh_00201,SSR,1,535,500,240,1455,1370,13700,2,35,0.29,1770,17700,ability_osh_00201_01,0,,0,,0,0,202512020
e,chara_osh_00301,piece_osh_00301,Support,Yellow,Short,PremiumSSR,0,osh,chara_osh_00301,SSR,1,350,270,170,1300,890,8900,2,35,0.27,630,6300,ability_osh_00301_01,0,,0,,0,0,202512020
e,chara_osh_00401,piece_osh_00401,Technical,Green,Short,PremiumSSR,0,osh,chara_osh_00401,SSR,1,370,275,225,640,700,7000,3,30,0.32,870,8700,ability_osh_00401_01,0,,0,,0,0,202512020
e,chara_osh_00501,piece_osh_00501,Technical,Blue,Short,PremiumSSR,0,osh,chara_osh_00501,SSR,1,335,320,165,1795,870,8700,3,35,0.31,630,6300,ability_osh_00501_01,0,,0,,0,0,202512020
e,chara_osh_00601,piece_osh_00601,Defense,Green,Short,DropSR,1,osh,chara_osh_00601,SR,1,800,1720,750,1265,5280,52800,1,47,0.17,960,9600,ability_osh_00601_01,2,,0,,0,0,202512020
e,chara_jig_00401,piece_jig_00401,Technical,Colorless,Short,PremiumUR,0,jig,chara_jig_00401,UR,1,1000,770,655,1140,2100,21000,3,30,0.31,2500,25000,ability_jig_00401_01,0,ability_jig_00401_02,4,,0,0,202601010
e,chara_jig_00501,piece_jig_00501,Support,Green,Short,PremiumSSR,0,jig,chara_jig_00501,SSR,1,605,425,395,1740,1160,11600,2,30,0.32,1200,12000,ability_jig_00501_01,0,,0,,0,0,202601010
e,chara_jig_00601,piece_jig_00601,Defense,Blue,Short,DropSR,1,jig,chara_jig_00601,SR,1,440,920,480,1195,2510,25100,1,35,0.21,880,8800,ability_jig_00601_01,2,,0,,0,0,202601010
e,chara_jig_00701,piece_jig_00701,Special,Colorless,None,DropSR,1,jig,chara_jig_00701,SR,1,650,0,0,0,0,0,,0,,15,15,,0,,0,,0,0,202601010
e,chara_you_00001,piece_you_00001,Attack,Red,Middle,PremiumUR,0,you,chara_you_00001,UR,1,960,740,355,890,2020,20200,2,45,0.34,4040,40400,ability_you_00001_01,0,ability_you_00001_02,4,,0,0,202602010
e,chara_you_00101,chara_you_00101,Technical,Yellow,Short,PremiumSSR,0,you,chara_you_00101,SSR,1,750,515,350,1465,1400,14000,3,40,0.26,2300,23000,ability_you_00101_01,0,,0,,0,0,202602010
e,chara_you_00201,chara_you_00201,Technical,Green,Middle,DropSR,1,you,chara_you_00201,SR,1,540,355,235,1120,970,9700,3,35,0.36,1790,17900,ability_you_00201_01,2,,0,,0,0,202602010
e,chara_you_00301,piece_you_00301,Attack,Blue,Short,DropSR,1,you,chara_you_00301,SR,1,735,650,340,670,1770,17700,2,35,0.29,1910,19100,ability_you_00301_01,2,,0,,0,0,202602010
e,chara_kim_00001,piece_kim_00001,Defense,Blue,Short,PremiumUR,0,kim,chara_kim_00001,UR,1,935,1625,915,1900,4780,47800,1,35,0.21,2980,29800,ability_kim_00001_01,0,ability_kim_00001_02,4,,0,0,202602020
e,chara_kim_00101,piece_kim_00101,Attack,Green,Short,PremiumSSR,0,kim,chara_kim_00101,SSR,1,715,630,330,660,1720,17200,2,35,0.24,1860,18600,ability_kim_00101_01,0,,0,,0,0,202602020
e,chara_hut_00001,piece_hut_00001,Defense,Green,Short,PremiumUR,0,hut,chara_hut_00001,UR,1,960,1805,750,1685,5760,57600,1,35,0.21,1440,14400,ability_hut_00001_01,0,ability_hut_00001_02,4,,0,0,202603010
